
SESSION 2 initiated 24-Jun-2017 15:29:22 for SUBJECT number 6

session	trial	pair	onset	dur	cue         	associate   
2	1	7	2004  	2003  	PEBBLE      	pici30.jpg  
2	2	2	10011 	2002  	PUZZLE      	pici18.jpg  
2	3	6	18001 	2002  	BELL        	pici17.jpg  
2	4	1	26008 	2002  	ISLAND      	pico11.jpg  
2	5	8	34015 	2002  	HAMMER      	pico14.jpg  
2	6	4	42005 	2002  	CURTAIN     	pico20.jpg  
2	7	3	50012 	2002  	RAINBOW     	pici22.jpg  
2	8	5	58002 	2002  	PIN         	pico16.jpg  


SESSION 2 ended 24-Jun-2017 15:31:01 for SUBJECT number 6




******************************************************************************


SESSION 3 ended 24-Jun-2017 15:33:40 for SUBJECT number 6




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0148		1		13		  NaN
1	2	0		15.000	  NaN	-0.0001		1		14		  NaN
1	3	1		15.000	  NaN	-0.0006		1		15		  NaN
1	4	0		15.000	  NaN	0.0344		1		16		  NaN
1	5	0		15.000	  NaN	0.0051		1		17		  NaN
1	6	1		15.000	  NaN	0.0064		1		18		  NaN
1	7	0		15.000	  NaN	0.0272		1		19		  NaN
1	8	0		15.000	  NaN	0.0098		1		20		  NaN
1	9	1		15.000	  NaN	0.0118		1		21		  NaN
1	10	0		15.000	  NaN	-0.0031		1		22		  NaN
1	11	0		15.000	  NaN	0.0137		1		23		  NaN
1	12	1		15.000	  NaN	-0.0000		1		24		  NaN
1	13	0		15.000	  NaN	0.0006		1		25		  NaN
1	14	0		15.000	  NaN	0.0013		1		26		  NaN
1	15	0		15.000	  NaN	0.0053		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0026		1		34		  NaN
2	2	0		15.000	  NaN	0.0038		1		35		  NaN
2	3	1		15.000	  NaN	0.0057		1		36		  NaN
2	4	0		15.000	  NaN	0.0239		1		37		  NaN
2	5	0		15.000	  NaN	0.0091		1		38		  NaN
2	6	1		15.000	  NaN	0.0276		1		39		  NaN
2	7	0		15.000	  NaN	0.0300		1		40		  NaN
2	8	0		15.000	  NaN	0.0141		1		41		  NaN
2	9	1		15.000	  NaN	0.0325		1		42		  NaN
2	10	0		15.000	  NaN	0.0016		1		43		  NaN
2	11	0		15.000	  NaN	0.0024		1		44		  NaN
2	12	1		15.000	  NaN	0.0045		1		45		  NaN
2	13	0		15.000	  NaN	0.0068		1		46		  NaN
2	14	0		15.000	  NaN	0.0079		1		47		  NaN
2	15	0		15.000	  NaN	0.0094		1		48		  NaN
